ST;stimulus;spike;time;ISI;amplitude;half-width;rise;baseline;decay50;decay70;decay90;area;decayrate;decaytime
17;15;230;5812,291;19;1,061;3,196;1,16;0,017;1,642;2,379;3,518;3,767;0,534;1,872
17;15;231;5831,291;19;1,06;2,988;1,93;0,014;2,201;2,866;3,879;3,68;0,418;2,393
17;15;232;5854,292;23,001;1,13;3,178;1,35;0,014;1,778;2,543;3,699;3,929;0,5;1,999
17;15;233;5876,292;22;1,087;3,17;1,14;0;1,576;2,279;3,384;4,052;0,569;1,757
17;15;234;5901,292;25;1,085;3,169;1,21;0;1,529;2,207;3,281;4,077;0,587;1,703
17;15;235;5926,293;25,001;1,141;3,215;1,22;0,012;1,76;2,491;3,632;4,098;0,506;1,977
17;15;236;5949,293;23;1,203;2,626;1,56;0,012;1,848;2,545;3,654;7,842;0,494;2,023
17;15;237;5975,292;25,999;1,058;3,087;1,6;0,008;1,784;2,532;3,689;3,687;0,503;1,987
17;15;238;5999,293;24,001;1,11;2,984;1,02;0,014;2,374;3,043;4,058;3,751;0,408;2,452
17;15;239;6022,293;23;1,159;2,749;1,52;0,014;2,007;2,737;3,882;7,502;0,457;2,188
17;15;240;6046,293;24;1,066;3,119;1,49;0,012;1,691;2,387;3,493;3,717;0,529;1,892
17;15;241;6067,294;21,001;1,107;3,134;1,03;0,012;1,58;2,267;3,35;7,588;0,56;1,787
17;15;242;6094,293;26,999;1,027;3,197;1,26;0,002;1,606;2,337;3,459;3,857;0,555;1,8
17;15;243;6116,294;22,001;1,171;2,933;1,23;0,005;2,269;2,961;4,191;4,051;0,424;2,36
17;15;244;6139,294;23;1,061;3,093;1,46;0,005;1,712;2,456;3,657;3,739;0,515;1,94
17;15;245;6163,294;24;1,185;2,872;1,63;0,015;1,953;2,689;3,8;3,897;0,469;2,133
17;15;246;6190,295;27,001;1,106;3,069;1,57;0,016;1,864;2,616;3,678;7,79;0,66;1,516
17;15;247;6216,295;26;1,064;3,197;1,25;0,016;1,597;2,303;3,289;3,846;0,554;1,804
17;15;248;6240,295;24;1,072;2,862;1,42;0,008;2,147;2,868;3,92;3,599;0,442;2,262
17;15;249;6267,295;27;1,102;2,868;1,43;0,005;2,114;2,829;3,915;3,805;0,444;2,252
17;15;250;6293,295;26;1,044;3,015;1,8;0,014;2,118;2,817;3,904;3,583;0,441;2,267
17;15;251;6316,296;23,001;1,162;2,772;1,62;0,02;1,831;2,573;3,707;3,637;0,486;2,057
17;15;252;6341,296;25;1,027;3;1,55;0,02;2,31;2,947;4,011;3,471;0,414;2,417
17;15;253;6364,296;23;1,137;3,178;1,22;0,02;1,667;2,421;3,578;7,548;0,516;1,938
17;15;254;6390,296;26;1,01;3,18;1,2;0,014;1,535;2,24;3,486;3,935;0,554;1,806
17;15;255;6416,296;26;1,155;3,207;1,51;0,014;1,917;2,691;3,751;7,992;0,471;2,121
17;15;256;6443,296;27;1,041;3,158;1,12;0,008;1,578;2,275;3,371;3,707;0,562;1,779
17;15;257;6467,297;24,001;1,175;3,073;1,56;0,008;1,805;2,543;3,685;4,001;0,501;1,998
17;15;258;6491,298;24,001;1,133;3,04;1,59;0,007;2,081;2,792;3,886;3,875;0,453;2,207
17;15;259;6519,297;27,999;1,277;3,054;1,71;0,011;2,248;2,974;4,138;4,668;0,416;2,405
17;15;260;6545,297;26;1,104;3,237;1,09;0,011;1,65;2,427;3,675;4,122;0,523;1,913
17;15;261;6566,298;21,001;1,16;3,001;1,3;0,012;2,333;3,071;4,181;4,025;0,411;2,436
17;15;262;6591,298;25;1,109;3,093;2;0,012;2,406;3,043;4,097;4,172;0,404;2,476
17;15;263;6621,298;30;1,155;3,235;1,08;0,012;2,612;3,36;4,518;4,33;0,374;2,675
17;15;264;6654,298;33;1,042;3,296;1,23;0,002;1,735;2,5;3,655;4,194;0,52;1,923
17;15;265;6683,298;29;1,086;3,291;0,99;0,002;1,725;2,484;3,665;8,256;0,517;1,933
17;15;266;6711,298;28;1,038;3,197;1,68;-0,006;1,826;2,573;3,692;3,878;0;0
17;15;267;6737,299;26,001;1,043;3,082;1,85;-0,014;1,828;2,548;3,72;3,772;0;0
17;15;268;6765,3;28,001;1,212;2,989;1,55;-0,001;1,806;2,601;3,842;7,864;0,618;1,617
17;15;269;6790,3;25;1,059;3,024;1,69;-0,001;1,85;2,645;3,803;3,746;0,494;2,022
17;15;270;6814,299;23,999;1,118;3,277;1,56;-0,002;2,101;2,83;3,944;3,914;0,453;2,208
17;15;271;6840,3;26,001;1,171;3,095;1,08;0;2,46;3,226;4,452;7,827;0,506;1,976
17;15;272;6867,3;27;1,057;3,128;1,43;0;2,404;3,158;4,222;3,783;0,401;2,491
17;15;273;6891,3;24;1,027;3,296;1,66;-0,008;2,566;3,27;4,484;3,877;0;0
17;15;274;6913,3;22;1,039;3,074;1,44;-0,004;2,354;3,095;4,338;3,638;0;0
17;15;275;6939,3;26;1,207;3,17;1,58;0,01;1,897;2,719;3,935;4,35;0,464;2,157
17;15;276;6966,3;27;1,113;3,203;1,26;0,01;2,534;3,274;4,47;4,128;0,38;2,629
17;15;277;6989,301;23,001;1,079;3,189;1,3;0,006;1,743;2,508;3,641;3,778;0,515;1,942
17;15;278;7011,301;22;1,101;3,337;1,26;-0,003;1,951;2,76;3,9;3,989;0;0
17;15;279;7036,301;25;0,986;3,24;1,11;-0,01;1,739;2,479;3,664;3,551;0;0
17;15;280;7060,302;24,001;0,907;3,18;1,22;0,016;2,529;3,234;4,404;3,264;0,382;2,618
17;15;281;7083,302;23;1,167;2,891;1,33;0,016;2,208;2,894;4,069;4,007;0,424;2,361
17;15;282;7108,302;25;1,143;2,784;1,66;0,01;1,981;2,723;3,815;3,693;0,467;2,143
17;15;283;7138,302;30;1,035;2,936;1,82;0,002;2,11;2,8;3,851;3,762;0,456;2,194
17;15;284;7165,303;27,001;1,079;3,237;1,25;0,004;1,785;2,536;3,716;4,01;0,504;1,984
17;15;285;7194,303;29;1,184;3,306;1,49;0,017;1,932;2,689;3,843;8,096;0,595;1,681
17;15;286;7219,303;25;1,083;3,124;1,58;0,017;1,805;2,566;3,663;3,753;0,492;2,033
17;15;287;7244,303;25;1,032;3,181;1,07;0,024;1,659;2,379;3,492;3,662;0,532;1,879
17;15;288;7267,303;23;1,097;3,281;1,24;0,024;1,764;2,475;3,526;3,94;0,503;1,986
18;15;4;1526,257;83;1,418;6,438;3,04;0,032;4,117;6,186;9,88;11,431;0,202;4,951
18;15;5;1589,258;63,001;1,487;5,608;2,32;0,032;4,025;6,001;9,037;21,587;0,211;4,738
18;15;6;1644,259;55,001;1,466;5,463;2,03;0,025;3,436;5,187;7,9;9,592;0,244;4,103
18;15;7;1685,258;40,999;1,526;5,291;2,1;0,025;3,46;4,962;7,503;9,581;0,257;3,891
18;15;8;1737,258;52;1,715;5,043;1,59;0,019;3,426;4,847;7,135;19,305;0,339;2,946
18;15;9;1784,259;47,001;1,698;4,789;1,64;0,019;3,498;4,911;6,957;9,322;0,265;3,767
18;15;10;1834,26;50,001;1,818;4,49;1,62;0,019;3,635;4,926;6,967;9,531;0,264;3,786
18;15;11;1885,26;51;1,763;4,412;1,5;0,013;2,746;3,974;5,931;8,939;0,325;3,076
18;15;12;1927,261;42,001;1,644;4,487;1,28;0,013;2,943;4,123;5,866;8,382;0,316;3,164
18;15;13;1966,26;38,999;1,775;4,163;1,75;0,013;2,978;4,132;5,858;8,294;0,316;3,16
18;15;14;2007,262;41,002;1,734;4,158;1,64;0,012;2,887;3,975;5,666;8,208;0,326;3,07
18;15;15;2047,261;39,999;1,752;4,033;1,18;0,012;2,485;3,595;5,155;7,936;0,365;2,74
18;15;16;2081,262;34,001;1,774;4,005;1,59;0,012;2,853;3,911;5,483;7,905;0,333;3,004
18;15;17;2116,263;35,001;1,693;3,954;1,43;0,012;2,57;3,62;5,169;14,366;0,458;2,184
18;15;18;2149,262;32,999;1,655;3,873;1,5;0,012;2,478;3,543;4,953;7,041;0,369;2,707
18;15;19;2183,263;34,001;1,681;3,851;1,77;0,01;2,947;3,91;5,424;7,326;0,331;3,022
18;15;20;2216,263;33;1,851;3,914;1,51;0,01;2,565;3,585;5,164;7,98;0,36;2,775
18;15;21;2251,264;35,001;1,669;3,969;1,5;0,01;2,561;3,579;5,018;7,415;0,365;2,738
18;15;22;2282,264;31;1,697;3,687;1,67;0,01;2,788;3,775;5,258;7,218;0,345;2,9
18;15;23;2316,264;34;1,706;3,813;1,54;0,008;3,046;3,974;5,54;7,445;0,325;3,075
18;15;24;2352,264;36;1,734;3,941;1,53;0,01;2,64;3,688;5,207;7,595;0,353;2,83
18;15;25;2388,264;36;1,802;3,8;1,62;0,01;2,609;3,597;5,149;15,339;0,36;2,778
18;15;26;2422,264;34;1,65;3,859;1,65;0,003;2,79;3,736;5,114;7,232;0,347;2,88
18;15;27;2460,265;38,001;1,587;3,943;1,44;0,003;2,268;3,232;4,694;7,282;0,404;2,474
18;15;28;2492,265;32;1,539;3,97;1,65;0;2,235;3,137;4,64;7,209;0,414;2,415
18;15;29;2527,266;35,001;1,551;3,889;1,65;0;2,616;3,603;4,989;6,702;0,365;2,737
18;15;30;2559,266;32;1,568;4,012;1,7;-0,008;2,957;3,897;5,422;7,295;0,337;2,964
18;15;31;2593,265;33,999;1,572;3,829;1,38;-0,002;2,267;3,187;4,688;6,865;0;0
18;15;32;2628,267;35,002;1,601;3,911;1,69;-0,002;2,935;3,87;5,402;7,148;0;0
18;15;33;2664,266;35,999;1,579;3,893;1,29;-0,002;2,348;3,315;4,736;6,909;0,398;2,511
18;15;34;2698,266;34;1,635;3,82;1,6;-0,002;2,607;3,579;5,08;6,85;0,367;2,723
18;15;35;2733,267;35,001;1,629;3,778;1,73;-0,002;2,914;3,914;5,432;7,109;0;0
18;15;36;2770,267;37;1,613;3,876;1,29;0;2,361;3,326;4,783;7,04;0,395;2,53
18;15;37;2802,268;32,001;1,655;4,021;1,65;0,002;2,704;3,671;5,048;7,331;0,357;2,799
18;15;38;2841,268;39;1,626;3,905;1,35;0,002;2,333;3,353;4,797;7,301;0,395;2,533
18;15;39;2874,268;33;1,58;3,986;1,82;0,005;2,972;3,938;5,436;7,256;0,33;3,035
18;15;40;2910,268;36;1,581;3,974;1,66;0,005;2,547;3,548;5,004;6,919;0,369;2,708
18;15;41;2944,269;34,001;1,583;3,872;1,62;-0,002;3,099;4,125;5,628;14,243;0,389;2,569
18;15;42;2976,269;32;1,552;3,916;1,72;-0,002;2,164;3,177;4,654;7,109;0,418;2,395
18;15;43;3016,27;40,001;1,645;3,969;1,44;-0,002;2,429;3,408;4,818;7,297;0,389;2,571
18;15;44;3053,269;36,999;1,685;3,997;1,54;0,003;2,555;3,54;4,953;7,408;0,37;2,702
18;15;45;3087,269;34;1,723;3,736;1,62;0,003;2,948;3,992;5,598;14,992;0,329;3,043
18;15;46;3123,27;36,001;1,682;3,909;1,63;0;2,246;3,174;4,642;7,523;0,411;2,432
18;15;47;3157,27;34;1,671;4,002;1,73;0;2,954;3,915;5,486;7,649;0,332;3,015
18;15;48;3192,271;35,001;1,698;3,911;1,66;0,011;2,914;3,865;5,453;7,514;0,332;3,013
18;15;49;3226,271;34;1,773;4,054;1,52;0,012;2,657;3,652;5,017;15,768;0,462;2,164
18;15;50;3259,272;33,001;1,754;4,067;1,51;0,012;2,734;3,749;5,133;7,84;0,348;2,872
18;15;51;3291,272;32;1,751;3,998;1,68;0,011;2,833;3,805;5,375;7,946;0,338;2,956
18;15;52;3325,271;33,999;1,755;3,902;1,26;0,01;2,304;3,287;4,787;7,623;0,393;2,546
18;15;53;3363,272;38,001;1,743;3,982;1,56;0,007;2,358;3,345;4,795;7,856;0,391;2,557
18;15;54;3399,273;36,001;1,673;3,849;1,68;0,001;3,044;4,093;5,599;7,58;0,322;3,102
18;15;55;3439,273;40;1,689;4,047;1,34;-0,003;2,551;3,563;5,005;7,771;0;0
18;15;56;3476,273;37;1,598;4,157;1,67;-0,005;2,914;3,93;5,455;7,594;0;0
18;15;57;3512,274;36,001;1,837;3,78;1,59;-0,005;2,959;3,957;5,469;15,634;0,332;3,012
18;15;58;3549,274;37;1,642;4,016;1,76;-0,002;2,261;3,17;4,651;7,528;0;0
18;15;59;3588,274;39;1,715;4,214;1,64;-0,002;2,949;3,936;5,53;8,117;0,333;2,999
18;15;60;3631,274;43;1,747;4,074;1,48;-0,003;2,671;3,687;5,252;23,869;0;0
18;15;61;3672,275;41,001;1,797;3,978;1,77;0,001;2,808;3,825;5,402;16,027;0,421;2,373
18;15;62;3710,274;37,999;1,734;3,981;1,78;0,001;3,134;4,09;5,544;7,967;0,321;3,111
18;15;63;3749,275;39,001;1,762;3,904;1,66;0;3,097;4,019;5,581;8,033;0,322;3,101
18;15;64;3795,275;46;1,822;4,156;1,67;0,001;2,974;3,976;5,509;8,806;0,33;3,034
18;15;65;3839,275;44;1,923;3,86;1,29;0,009;2,217;3,191;4,744;17,045;0,509;1,965
18;15;66;3877,276;38,001;1,876;3,999;1,71;0,009;2,955;3,948;5,467;8,551;0,329;3,038
18;15;67;3922,277;45,001;2,004;3,868;1,71;0,009;2,827;3,882;5,525;8,95;0,335;2,988
18;15;68;3970,277;48;1,994;3,994;1,52;0,012;2,652;3,682;5,224;9,177;0,353;2,832
18;15;69;4010,277;40;1,999;3,909;1,44;0,013;2,333;3,325;4,83;9,161;0,389;2,572
18;15;70;4051,278;41,001;1,906;4,075;1,64;0,023;2,341;3,337;4,822;8,781;0,384;2,607
18;15;71;4093,279;42,001;1,995;3,937;1,65;0,023;2,797;3,855;5,366;17,788;0,336;2,98
18;15;72;4138,278;44,999;1,892;4,234;1,69;0,016;3,38;4,354;5,865;9,236;0,296;3,374
18;15;73;4188,278;50;1,973;4,068;1,55;0,017;2,379;3,446;4,899;9,474;0,377;2,65
18;15;74;4234,279;46,001;2,088;4,047;1,68;0,017;3,129;4,091;5,679;9,585;0,314;3,186
18;15;75;4277,279;43;2,008;4,194;1,71;0,026;2,934;3,951;5,496;9,392;0,323;3,092
18;15;76;4317,28;40,001;2,066;3,98;1,51;0,026;2,364;3,4;4,954;18,903;0,374;2,673
18;15;77;4365,28;48;2,155;4,005;1,66;0,023;2,754;3,806;5,366;29,015;0,339;2,95
18;15;78;4409,28;44;2,102;4,025;1,72;0,023;3,016;4,045;5,633;10,073;0,315;3,175
18;15;79;4455,28;46;2,227;4,016;1,62;0,023;2,798;3,846;5,413;10,038;0,335;2,982
18;15;80;4502,281;47,001;2,07;3,94;1,64;0,019;2,224;3,216;4,715;9,58;0,399;2,505
18;15;81;4547,282;45,001;2,148;3,973;1,71;0,008;2,697;3,768;5,368;10,233;0,346;2,888
18;15;82;4593,282;46;2,035;4,042;1,69;0,01;3,161;4,25;5,835;9,416;0,309;3,237
18;15;83;4635,283;42,001;2,09;4,157;1,55;0,01;2,709;3,757;5,29;19,268;0,348;2,874
18;15;84;4679,283;44;2,233;4,143;1,29;0,001;2,699;3,714;5,202;10,898;0,354;2,828
18;15;85;4737,283;58;2,042;4,04;1,61;0,001;3,247;4,238;5,777;9,667;0,311;3,22
18;15;86;4791,283;54;2,226;3,872;1,26;-0,007;2,319;3,309;4,829;10,251;0;0
18;15;87;4847,284;56,001;1,947;4,073;1,17;-0,007;2,478;3,539;5,159;9,201;0;0
18;15;88;4894,285;47,001;2,051;3,986;1,18;-0,003;2,458;3,465;5,01;9,471;0;0
18;15;89;4940,285;46;1,952;4,176;1,46;-0,003;2,672;3,697;5,354;9,373;0,355;2,818
18;15;90;4988,285;48;2,089;4,117;1,33;-0,001;2,558;3,629;5,124;9,898;0;0
18;15;91;5036,285;48;2,096;4,139;1,32;-0,001;2,642;3,672;5,527;20,12;0,437;2,288
18;15;92;5081,286;45,001;2,094;4,089;1,66;-0,001;2,464;3,461;4,946;9,97;0,379;2,636
18;15;93;5125,286;44;2,102;3,977;1,51;0,002;2,303;3,34;4,968;20,353;0,461;2,168
18;15;94;5177,287;52,001;2,096;4,078;1,76;0,002;3,171;4,201;5,767;10,467;0,312;3,202
18;15;95;5226,286;48,999;2,147;4,029;1,41;0,002;2,434;3,439;4,922;9,862;0,383;2,613
18;15;96;5274,287;48,001;2,084;4,101;1,43;-0,002;2,587;3,602;5,172;9,834;0,367;2,725
18;15;97;5321,288;47,001;2,141;4,059;1,6;0;2,358;3,359;4,867;10,13;0;0
18;15;98;5372,288;51;2,137;4,206;1,7;0,005;3,019;3,945;5,531;10,249;0,329;3,044
18;15;99;5426,289;54,001;2,251;4,04;1,35;0,016;2,607;3,658;5,251;10,203;0,355;2,818
18;15;100;5464,288;37,999;2,022;4,298;2,02;0,016;2,769;3,762;5,462;9,968;0,34;2,942
18;15;101;5509,289;45,001;2,178;4,02;1,9;0,006;2,998;3,949;5,612;10,434;0,324;3,083
18;15;102;5554,289;45;2,237;3,996;1,36;0,005;2,358;3,393;4,906;10,389;0,387;2,581
18;15;103;5604,29;50,001;2,031;4,27;1,79;0,01;3,274;4,266;5,886;10,212;0,303;3,299
18;15;104;5650,29;46;2,388;4,029;1,54;0,01;2,737;3,755;5,394;20,774;0,346;2,894
18;15;105;5693,291;43,001;2,248;4,108;1,56;0,006;2,72;3,748;5,398;10,51;0,347;2,882
18;15;106;5740,291;47;2,301;3,966;1,51;0,006;2,526;3,589;5,088;10,516;0,366;2,729
18;15;107;5806,291;66;2,36;4,022;1,49;0,004;2,319;3,362;4,94;11,462;0,39;2,567
18;15;108;5863,292;57,001;2,375;4,139;1,53;-0,001;2,909;3,969;5,673;11,257;0,33;3,028
18;15;109;5920,292;57;2,416;4,116;1,55;-0,001;2,814;3,833;5,433;10,919;0,344;2,906
18;15;110;5980,293;60,001;2,29;4,255;1,67;-0,006;2,651;3,735;5,458;11,525;0,354;2,828
18;15;111;6041,294;61,001;2,446;3,913;1,25;-0,002;3,24;4,325;5,903;11,576;0;0
18;15;112;6111,294;70;2,424;4,059;1,59;-0,002;2,841;3,923;5,61;11,85;0,336;2,973
18;15;113;6185,294;74;2,349;4,013;1,49;0,003;2,636;3,732;5,425;10,801;0,351;2,851
18;15;114;6243,295;58,001;2,365;4,275;1,74;0,007;2,864;3,911;5,603;12,276;0,332;3,016
18;15;115;6308,296;65,001;2,24;4,291;1,64;0,021;2,55;3,602;5,23;10,965;0,358;2,797
18;15;116;6360,296;52;2,378;4,178;1,43;0,021;2,693;3,77;5,435;11,349;0,344;2,908
18;15;117;6423,296;63;2,594;3,777;1,63;0,014;2,943;3,992;5,664;34,795;0,324;3,084
18;15;118;6487,297;64,001;2,436;3,93;1,8;-0,001;3,014;4,177;5,806;11,933;0,319;3,135
18;15;119;6554,297;67;2,294;4,17;1,36;-0,005;2,629;3,749;5,424;11,106;0;0
18;15;120;6621,298;67,001;2,264;4,039;1,71;-0,005;2,987;4,031;5,633;11,202;0,328;3,052
18;15;121;6690,298;69;2,382;4,044;1,61;-0,002;3,266;4,359;6,003;11,306;0;0
18;15;122;6766,299;76,001;2,306;4,159;1,68;0,004;2,94;4,03;5,687;11,171;0,325;3,079
18;15;123;6829,299;63;2,158;4,25;1,72;0,004;2,94;4,017;5,698;10,594;0,325;3,079
18;15;124;6899,3;70,001;2,296;4,197;1,46;0,002;2,557;3,648;5,287;11,406;0,361;2,768
18;15;125;6957,3;58;2,161;4,361;1,76;0,002;2,583;3,657;5,18;11,274;0,36;2,777
18;15;126;7030,302;73,002;2,256;4,328;1,43;0,001;2,811;3,876;5,656;11,809;0,335;2,988
18;15;127;7099,302;69;2,25;4,234;1,73;0,001;3,206;4,299;5,945;12,03;0,306;3,265
18;15;128;7174,302;75;2,259;4,199;1,43;0,001;2,742;3,882;5,572;10,997;0,341;2,932
18;15;129;7248,303;74,001;2,218;4,138;1,37;0,014;2,659;3,781;5,469;10,417;0,346;2,891
19;15;8;2417,265;117,001;1,751;6,78;6,28;0,013;3,895;5,627;8,008;16,344;0,235;4,251
19;15;9;2537,266;120,001;1,64;6,854;6,9;-0,001;4,459;6,041;8,439;15,457;0,222;4,501
19;15;10;2694,266;157;1,905;6,596;4,68;-0,005;3,789;5,392;7,711;17,259;0,251;3,986
19;15;11;2835,268;141,002;1,861;7,908;3,95;-0,005;5,346;7,266;10,264;17,541;0;0
19;15;12;2948,268;113;1,812;7,819;6,97;0,009;4,642;6,515;9,52;18,43;0,202;4,956
19;15;13;3077,27;129,002;2,043;7,227;4,44;0,009;5,17;6,802;9,234;19,942;0,195;5,126
19;15;14;3257,271;180,001;1,981;8,671;5,6;0,036;6,252;8,316;11,306;24,393;0,166;6,012
19;15;15;3427,272;170,001;2,138;7,617;5,25;0,036;4,817;6,645;9,471;46,824;0,202;4,952
19;15;16;3657,274;230,002;2,153;7,053;4,22;0,037;4,336;6,197;9,145;20,151;0,21;4,762
19;15;17;3756,276;99,002;1,869;7,844;8,01;0,037;5,17;6,964;9,57;19,781;0,188;5,328
19;15;18;3939,277;183,001;1,961;7,214;4,88;0,005;3,767;5,382;7,909;20,506;0,251;3,991
19;15;19;4135,278;196,001;1,96;7,582;7,1;-0,011;4,223;6,048;8,473;19,54;0;0
19;15;20;4327,28;192,002;1,913;7,087;5,1;-0,015;4,392;5,861;8,23;20,335;0;0
19;15;21;4495,281;168,001;1,903;7,196;10,09;-0,006;4,206;6,052;8,823;20,05;0;0
20;15;2;1793,26;107,001;0,804;6,65;4,26;0,03;3,714;5,55;7,951;14,084;0,291;3,435
20;15;3;1886,26;93;0,779;7,011;3,9;0,03;4,906;6,547;8,88;6,816;0,198;5,042
20;15;4;1978,261;92,001;0,943;6,3;3,03;0,03;3,84;5,409;7,802;6,761;0,229;4,362
20;15;5;2078,261;100;1,015;5,94;2,53;0,007;3,916;5,402;7,538;35,091;0,245;4,088
20;15;6;2168,263;90,002;1,191;5,79;1,75;-0,005;3,541;5,034;7,275;63,528;0,265;3,778
20;15;7;2253,263;85;1,233;5,576;1,98;-0,003;3,675;5,074;7,247;8,149;0;0
20;15;8;2329,263;76;1,269;5,65;2,14;-0,002;3,572;5,029;7,034;8,313;0;0
20;15;9;2392,264;63,001;1,276;5,435;1,87;-0,002;3,805;5,062;6,883;16,41;0,264;3,792
20;15;10;2465,264;73;1,519;5,075;1,58;-0,004;3,491;4,792;6,632;9,15;0;0
20;15;11;2543,266;78,002;1,55;5,291;1,79;-0,004;3,128;4,425;6,076;18,771;0,305;3,274
20;15;12;2630,33;87,064;1,598;5,364;1,66;0,009;3,03;4,152;5,686;8,941;0,317;3,151
20;15;13;2712,266;81,936;1,523;5,149;1,5;0,009;3,814;4,875;6,503;8,741;0,267;3,748
20;15;14;2800,267;88,001;1,564;5,156;1,57;0,009;2,798;3,824;5,35;9,059;0,339;2,953
20;15;15;2901,268;101,001;1,518;4,756;1,78;0,006;2,891;3,942;5,472;8,957;0,331;3,022
20;15;16;3009,269;108,001;1,448;4,953;1,54;0,002;3,563;4,583;5,892;9,082;0,291;3,436
20;15;17;3135,27;126,001;1,551;4,85;1,4;0,002;3,433;4,471;5,973;18,095;0,293;3,414
20;15;18;3237,272;102,002;1,36;5,102;1,69;0,002;3,692;4,682;5,981;8,427;0,281;3,556
